;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
103;Matthew Ebden;AUS;17;23;8;4;206;5.4;154;4.1;0.62;0.69;0.46;0.73;0.34;0.59;0.28;0.49;0.19
104;Matthias Bachinger;GER;9;16;5;6;162;6.5;65;2.6;0.56;0.74;0.46;0.75;0.35;0.62;0.28;0.49;0.19
105;Jan Hajek;CZE;4;7;3;1;32;2.9;19;1.7;0.63;0.68;0.48;0.74;0.4;0.58;0.3;0.51;0.2
106;Mikhail Kukushkin;KAZ;12;15;3;3;79;3.3;43;1.8;0.59;0.63;0.52;0.69;0.43;0.53;0.31;0.5;0.24
107;Nicolas Mahut;FRA;16;18;9;8;273;8.0;92;2.7;0.61;0.72;0.5;0.79;0.41;0.66;0.26;0.46;0.19
108;Guido Pella;ARG;0;1;0;0;2;2.0;6;6.0;0.65;0.61;0.38;0.6;0.42;0.43;0.37;0.45;0.26
109;Dudi Sela;ISR;12;19;4;8;66;2.4;73;2.6;0.61;0.68;0.51;0.74;0.35;0.59;0.29;0.51;0.22
110;Igor Andreev;RUS;12;17;8;12;140;5.0;71;2.5;0.61;0.73;0.53;0.81;0.36;0.54;0.29;0.47;0.18
111;Ruben Bemelmans;BEL;4;6;3;2;51;5.7;33;3.7;0.6;0.7;0.49;0.77;0.43;0.59;0.25;0.5;0.17
112;Adrian Ungur;ROU;1;12;2;5;43;3.3;61;4.7;0.6;0.68;0.46;0.7;0.31;0.56;0.24;0.4;0.11
113;Andreas Haider-Maurer;AUT;1;5;0;4;24;8.0;22;7.3;0.61;0.67;0.4;0.68;0.35;0.5;0.29;0.5;0.17
114;Ricardas Berankis;LTU;10;5;2;1;68;4.5;50;3.3;0.5;0.75;0.55;0.83;0.31;0.57;0.3;0.51;0.21
115;Tommy Robredo;ESP;5;7;1;0;58;4.8;26;2.2;0.6;0.7;0.48;0.74;0.53;0.61;0.29;0.45;0.21
116;Philipp Petzschner;GER;10;17;5;6;187;7.2;64;2.5;0.6;0.72;0.49;0.79;0.41;0.62;0.29;0.46;0.2
117;Daniel Brands;GER;5;8;6;6;144;11.1;49;3.8;0.61;0.77;0.5;0.86;0.31;0.66;0.24;0.45;0.12
118;Malek Jaziri;TUN;6;11;4;4;91;5.4;48;2.8;0.59;0.69;0.47;0.73;0.32;0.61;0.25;0.48;0.17
119;Yuichi Sugita;JPN;2;3;1;1;10;2.0;8;1.6;0.58;0.65;0.53;0.78;0.26;0.63;0.29;0.45;0.18
120;Florent Serra;FRA;5;8;2;5;52;4.0;35;2.7;0.59;0.63;0.48;0.69;0.47;0.58;0.26;0.47;0.18
121;Kenny De Schepper;FRA;1;4;0;4;44;8.8;22;4.4;0.61;0.77;0.51;0.86;0.2;0.67;0.18;0.42;0.08
