ranking;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
113;Evgeny Donskoy;RUS;13;20;6;11;181;5.8;79;2.5;0.58;0.73;0.49;0.8;0.33;0.63;0.26;0.47;0.15
114;Denis Kudla;USA;5;11;0;5;58;3.6;47;2.9;0.6;0.7;0.51;0.78;0.38;0.63;0.23;0.51;0.2
115;Stephane Robert;FRA;2;2;1;0;20;5.0;15;3.8;0.61;0.72;0.51;0.78;0.33;0.5;0.28;0.55;0.22
116;Dusan Lajovic;SRB;0;6;0;1;11;2.8;14;3.5;0.56;0.72;0.38;0.67;0.47;0.62;0.26;0.46;0.15
117;Diego Schwartzman;ARG;1;5;0;1;6;1.0;25;4.2;0.7;0.56;0.48;0.58;0.47;0.51;0.27;0.57;0.27
118;Guido Pella;ARG;7;13;5;5;76;3.8;57;2.9;0.58;0.67;0.48;0.7;0.34;0.51;0.25;0.48;0.17
119;Adrian Ungur;ROU;2;9;2;0;15;2.1;32;4.6;0.59;0.63;0.4;0.6;0.29;0.48;0.17;0.42;0.05
120;Marc Gicquel;FRA;0;5;0;2;16;3.2;19;3.8;0.53;0.61;0.45;0.58;0.35;0.57;0.16;0.46;0.11
121;Grega Zemlja;SLO;13;21;10;10;235;7.3;114;3.6;0.57;0.72;0.46;0.75;0.36;0.62;0.28;0.47;0.19
122;Frank Dancevic;CAN;3;4;3;1;48;9.6;14;2.8;0.63;0.7;0.51;0.75;0.36;0.62;0.26;0.5;0.2
123;Facundo Bagnis;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;Facundo Arguello;ARG;0;3;0;0;3;1.0;12;4.0;0.59;0.61;0.51;0.62;0.36;0.55;0.35;0.5;0.25
125;Thomaz Bellucci;BRA;8;18;6;6;135;6.1;76;3.5;0.54;0.69;0.51;0.73;0.32;0.58;0.27;0.5;0.18
126;Pere Riba;ESP;0;2;0;0;5;2.5;2;1.0;0.59;0.73;0.34;0.64;0.2;0.47;0.22;0.4;0.04
127;Rajeev Ram;USA;4;11;2;1;111;7.4;39;2.6;0.63;0.7;0.46;0.76;0.37;0.61;0.26;0.46;0.18
128;Andrej Martin;SVK;1;4;1;2;4;4.0;3;3.0;0.49;0.65;0.36;0.47;0.58;0.18;0.38;0.5;0.41
129;Paul-Henri Mathieu;FRA;6;19;2;7;126;5.0;104;4.2;0.55;0.71;0.48;0.75;0.37;0.54;0.24;0.47;0.15
130;Rhyne Williams;USA;5;11;4;3;143;8.9;59;3.7;0.58;0.72;0.49;0.75;0.33;0.58;0.22;0.51;0.14
131;Ricardas Berankis;LTU;13;16;7;6;164;6.1;121;4.5;0.55;0.73;0.52;0.81;0.31;0.66;0.27;0.49;0.18
132;Rogerio Dutra Silva;BRA;1;8;3;1;13;1.9;20;2.9;0.61;0.63;0.47;0.6;0.35;0.44;0.24;0.41;0.11
133;Martín Alund;ARG;6;8;5;1;45;3.2;30;2.1;0.62;0.65;0.51;0.71;0.35;0.62;0.32;0.45;0.18
