jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
93;Aleksandr Nedovyesov;KAZ;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;Guido Pella;ARG;5;6;3;3;35;3.2;35;3.2;0.59;0.68;0.49;0.72;0.38;0.51;0.27;0.5;0.22
95;Leonardo Mayer;ARG;7;9;6;2;75;4.7;54;3.4;0.63;0.68;0.49;0.74;0.43;0.55;0.28;0.47;0.2
96;Donald Young;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;Bradley Klahn;USA;0;1;0;1;4;4.0;4;4.0;0.66;0.74;0.55;0.8;0.33;0.0;0.18;0.42;0.09
98;Evgeny Donskoy;RUS;1;4;3;2;26;5.2;14;2.8;0.61;0.7;0.49;0.75;0.31;0.61;0.26;0.48;0.17
99;Sergiy Stakhovsky;UKR;2;7;0;0;19;2.4;16;2.0;0.6;0.63;0.51;0.69;0.37;0.51;0.32;0.45;0.22
100;Alejandro Falla;COL;1;4;0;0;8;1.6;7;1.4;0.56;0.58;0.46;0.61;0.5;0.53;0.26;0.44;0.16
101;Jesse Huta Galung;NED;1;1;0;0;8;8.0;3;3.0;0.58;0.66;0.39;0.58;0.67;0.17;0.33;0.6;0.33
102;Ryan Harrison;USA;1;3;2;1;23;5.8;17;4.3;0.61;0.72;0.52;0.8;0.33;0.68;0.24;0.43;0.13
103;Andrey Golubev;KAZ;2;3;2;1;3;1.5;7;3.5;0.58;0.67;0.37;0.56;0.17;0.5;0.25;0.5;0.11
104;Jack Sock;USA;2;2;2;2;28;7.0;17;4.3;0.57;0.78;0.54;0.86;0.38;0.74;0.27;0.51;0.17
105;Go Soeda;JPN;0;2;0;0;3;1.5;5;2.5;0.6;0.53;0.36;0.35;0.27;0.24;0.26;0.51;0.15
106;Blaz Kavcic;SLO;7;7;1;2;42;3.2;24;1.8;0.63;0.66;0.57;0.76;0.49;0.57;0.33;0.46;0.25
107;Michael Llodra;FRA;1;1;0;1;31;15.5;10;5.0;0.6;0.74;0.46;0.8;0.36;0.56;0.35;0.42;0.24
108;Jan Hajek;CZE;7;8;1;1;37;2.6;18;1.3;0.68;0.63;0.53;0.72;0.41;0.64;0.33;0.51;0.26
109;Adrian Ungur;ROU;0;3;1;0;7;2.3;13;4.3;0.63;0.65;0.4;0.63;0.2;0.5;0.17;0.4;0.03
110;Jan-Lennard Struff;GER;2;4;0;3;21;3.5;22;3.7;0.58;0.68;0.46;0.71;0.39;0.41;0.27;0.53;0.24
111;Martin Klizan;SVK;7;9;3;3;91;5.7;51;3.2;0.56;0.67;0.52;0.74;0.43;0.69;0.33;0.5;0.26
112;Paolo Lorenzi;ITA;8;13;2;1;61;3.1;50;2.5;0.58;0.68;0.5;0.72;0.36;0.57;0.32;0.49;0.23
113;David Goffin;BEL;3;7;1;4;23;2.9;34;4.3;0.67;0.64;0.44;0.66;0.5;0.51;0.35;0.49;0.28
114;Andreas Haider-Maurer;AUT;2;4;0;2;20;4.0;18;3.6;0.58;0.72;0.39;0.65;0.48;0.47;0.26;0.52;0.23
115;Denis Kudla;USA;0;1;0;0;5;5.0;5;5.0;0.68;0.59;0.45;0.67;0.14;0.5;0.21;0.42;0.06
116;Stephane Robert;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;Dusan Lajovic;SRB;0;4;0;1;11;2.8;14;3.5;0.56;0.72;0.38;0.67;0.47;0.62;0.26;0.46;0.15
118;Diego Schwartzman;ARG;1;5;0;1;6;1.0;25;4.2;0.7;0.56;0.48;0.58;0.47;0.51;0.27;0.57;0.27
119;Marc Gicquel;FRA;0;2;0;0;3;1.5;4;2.0;0.56;0.56;0.41;0.5;0.33;0.55;0.18;0.42;0.05
120;Grega Zemlja;SLO;5;5;3;3;63;6.3;33;3.3;0.55;0.73;0.46;0.74;0.4;0.65;0.34;0.51;0.29
121;Dominic Thiem;AUT;2;1;0;0;9;3.0;6;2.0;0.53;0.75;0.6;0.87;0.37;0.56;0.29;0.48;0.23
122;Dustin Brown;GER;0;1;0;1;6;6.0;1;1.0;0.55;0.76;0.59;0.8;0.0;0.6;0.2;0.21;0.0
123;Facundo Bagnis;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;Facundo Arguello;ARG;0;2;0;0;1;0.5;7;3.5;0.52;0.63;0.54;0.65;0.37;0.5;0.38;0.51;0.27
125;Thomaz Bellucci;BRA;4;8;3;3;72;6.0;41;3.4;0.54;0.69;0.5;0.72;0.32;0.59;0.3;0.53;0.21
126;Pere Riba;ESP;0;2;0;0;5;2.5;2;1.0;0.59;0.73;0.34;0.64;0.2;0.47;0.22;0.4;0.04
127;Rajeev Ram;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
128;Andrej Martin;SVK;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129;Paul-Henri Mathieu;FRA;2;8;0;2;27;2.7;41;4.1;0.55;0.67;0.46;0.69;0.4;0.48;0.29;0.44;0.17
130;Rhyne Williams;USA;3;2;3;1;40;8.0;12;2.4;0.6;0.68;0.55;0.79;0.23;0.63;0.23;0.53;0.12
131;Ricardas Berankis;LTU;3;4;0;3;38;5.4;31;4.4;0.55;0.71;0.54;0.83;0.36;0.71;0.27;0.5;0.22
132;Rogerio Dutra Silva;BRA;0;3;0;1;4;1.3;6;2.0;0.65;0.59;0.36;0.52;0.5;0.36;0.28;0.39;0.15
133;Martín Alund;ARG;6;7;5;1;37;2.8;28;2.2;0.61;0.65;0.51;0.71;0.34;0.63;0.34;0.44;0.19
134;Frank Dancevic;CAN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135;Xavier Malisse;BEL;0;5;0;0;18;3.6;9;1.8;0.57;0.59;0.42;0.55;0.27;0.5;0.21;0.47;0.06
136;James Duckworth;AUS;0;1;0;0;3;3.0;4;4.0;0.46;0.59;0.3;0.42;0.2;0.42;0.25;0.35;0.08
137;Guillaume Rufin;FRA;3;5;1;3;21;2.6;26;3.3;0.57;0.64;0.51;0.73;0.32;0.62;0.28;0.52;0.22
138;Wayne Odesnik;USA;1;1;0;0;3;1.5;4;2.0;0.62;0.59;0.43;0.59;0.31;0.68;0.38;0.48;0.29
