jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
169;Steve Darcis;BEL;1;1;2;1;17;8.5;3;1.5;0.63;0.74;0.57;0.86;0.21;0.64;0.31;0.46;0.14
170;Cedrik-Marcel Stebe;GER;1;1;0;0;8;4.0;1;0.5;0.68;0.63;0.5;0.72;0.36;0.5;0.34;0.54;0.28
171;Malek Jaziri;TUN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172;James Ward;GBR;0;3;2;4;33;11.0;8;2.7;0.64;0.72;0.53;0.84;0.17;0.69;0.26;0.46;0.1
173;Marco Chiudinelli;SUI;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
174;Mischa Zverev;GER;2;1;1;0;15;5.0;8;2.7;0.67;0.63;0.42;0.65;0.29;0.52;0.35;0.42;0.19
175;John Millman;AUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
176;Yuichi Sugita;JPN;1;1;0;0;8;4.0;8;4.0;0.56;0.57;0.39;0.5;0.45;0.5;0.37;0.64;0.48
177;Marsel Ilhan;TUR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
178;Gerald Melzer;AUT;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
179;David Guez;FRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
180;Hiroki Moriya;JPN;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181;Konstantin Kravchuk;RUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
182;Renzo Olivo;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
183;Sam Groth;AUS;0;1;1;0;22;22.0;8;8.0;0.61;0.76;0.53;0.79;0.0;0.63;0.26;0.35;0.0
184;Bobby Reynolds;USA;1;1;1;2;30;15.0;6;3.0;0.64;0.68;0.54;0.84;0.19;0.79;0.2;0.45;0.08
